"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2023","EQ","991.00","999.90","988.00","991.80","999.40","998.10","994.21","1,047.50","814.30","61,03,988","6,06,86,67,929.00","1,63,331"
"21-Nov-2023","EQ","989.95","997.50","986.65","988.70","992.80","991.80","992.04","1,047.50","814.30","70,61,614","7,00,53,84,921.90","1,80,845"
"20-Nov-2023","EQ","981.00","994.75","980.35","994.35","988.00","988.70","988.02","1,047.50","814.30","82,15,656","8,11,71,97,106.55","1,59,755"
"17-Nov-2023","EQ","1,014.90","1,020.00","991.85","1,026.35","992.65","994.35","999.54","1,047.50","814.30","1,32,68,353","13,26,22,93,055.55","2,50,682"
"16-Nov-2023","EQ","1,042.80","1,044.00","1,022.15","1,041.35","1,026.00","1,026.35","1,034.32","1,047.50","814.30","69,08,825","7,14,59,41,936.85","1,33,655"
"15-Nov-2023","EQ","1,045.00","1,045.00","1,031.55","1,025.35","1,041.50","1,041.35","1,038.30","1,047.50","814.30","72,40,388","7,51,76,65,811.35","2,03,111"
"13-Nov-2023","EQ","1,030.05","1,031.85","1,023.50","1,029.95","1,026.00","1,025.35","1,027.36","1,047.50","814.30","59,85,481","6,14,92,42,004.05","1,84,560"
"12-Nov-2023","EQ","1,033.90","1,033.90","1,026.25","1,029.20","1,029.10","1,029.95","1,029.99","1,047.50","814.30","4,61,834","47,56,82,172.40","12,284"
"10-Nov-2023","EQ","1,017.90","1,031.00","1,016.65","1,021.90","1,029.80","1,029.20","1,024.38","1,047.50","814.30","32,94,063","3,37,43,59,818.35","1,10,355"
"09-Nov-2023","EQ","1,024.75","1,028.85","1,016.65","1,021.70","1,021.25","1,021.90","1,022.76","1,047.50","814.30","44,07,935","4,50,82,79,534.60","1,45,383"
"08-Nov-2023","EQ","1,024.00","1,026.95","1,015.60","1,020.90","1,020.10","1,021.70","1,020.58","1,047.50","814.30","76,43,314","7,80,06,10,010.25","2,17,176"
"07-Nov-2023","EQ","1,008.00","1,022.20","1,005.25","1,009.40","1,019.50","1,020.90","1,012.62","1,047.50","814.30","65,59,859","6,64,26,30,808.20","1,74,587"
"06-Nov-2023","EQ","995.00","1,016.20","993.10","988.85","1,010.05","1,009.40","1,008.78","1,047.50","814.30","65,52,178","6,60,96,74,739.85","1,28,492"
"03-Nov-2023","EQ","986.00","991.40","981.50","982.95","987.05","988.85","987.32","1,047.50","814.30","42,68,048","4,21,39,12,165.80","1,02,341"
"02-Nov-2023","EQ","978.00","988.35","974.00","971.80","982.50","982.95","981.85","1,047.50","814.30","51,93,982","5,09,97,06,109.85","1,11,235"
"01-Nov-2023","EQ","977.85","979.30","968.00","981.85","971.40","971.80","973.48","1,047.50","814.30","57,03,984","5,55,26,86,766.80","1,79,324"
"31-Oct-2023","EQ","998.00","998.00","978.00","989.20","980.45","981.85","984.46","1,047.50","814.30","78,16,805","7,69,53,70,543.30","1,84,332"
"30-Oct-2023","EQ","1,002.75","1,002.75","979.20","1,002.75","989.60","989.20","987.85","1,047.50","814.30","52,70,567","5,20,65,05,053.35","1,50,634"
"27-Oct-2023","EQ","980.00","1,004.75","973.30","972.05","999.90","1,002.75","988.83","1,047.50","814.30","1,34,43,016","13,29,29,05,893.75","1,89,306"
"26-Oct-2023","EQ","956.00","975.00","952.75","955.45","973.55","972.05","967.37","1,047.50","814.30","1,75,40,495","16,96,80,91,091.25","3,46,029"
"25-Oct-2023","EQ","960.00","974.00","951.40","964.30","956.85","955.45","961.87","1,047.50","814.30","69,57,048","6,69,18,05,765.40","1,98,957"
"23-Oct-2023","EQ","980.00","984.90","961.10","980.35","965.55","964.30","973.56","1,047.50","814.30","58,96,695","5,74,07,66,147.25","1,85,172"
