"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Nov-2023","EQ","402.50","402.60","399.10","400.65","400.50","400.25","400.78","443.75","352.00","26,59,291","1,06,57,89,721.10","65,892"
"21-Nov-2023","EQ","402.60","402.60","400.05","400.20","400.55","400.65","401.10","443.75","352.00","27,20,124","1,09,10,38,207.50","72,441"
"20-Nov-2023","EQ","393.20","401.10","393.20","395.40","400.15","400.20","399.28","443.75","352.00","43,05,248","1,71,89,88,192.75","85,321"
"17-Nov-2023","EQ","398.00","399.00","394.50","397.10","394.90","395.40","396.56","443.75","352.00","39,43,464","1,56,38,30,351.00","84,552"
"16-Nov-2023","EQ","391.65","399.50","389.30","391.65","396.75","397.10","395.60","443.75","352.00","69,21,788","2,73,82,42,303.60","1,24,565"
"15-Nov-2023","EQ","385.55","392.25","384.25","381.65","391.45","391.65","389.52","443.75","352.00","53,96,259","2,10,19,67,980.65","1,25,802"
"13-Nov-2023","EQ","382.60","382.90","380.00","382.45","382.05","381.65","381.07","443.75","352.00","17,92,951","68,32,34,046.35","63,717"
"12-Nov-2023","EQ","383.40","383.40","381.45","379.30","383.00","382.45","382.46","443.75","352.00","10,11,662","38,69,19,203.35","39,907"
"10-Nov-2023","EQ","380.30","381.80","377.00","380.85","379.75","379.30","378.54","443.75","352.00","53,55,350","2,02,72,15,362.30","95,452"
"09-Nov-2023","EQ","383.00","384.00","379.70","382.20","381.20","380.85","381.44","443.75","352.00","46,15,563","1,76,05,64,503.10","85,875"
"08-Nov-2023","EQ","384.60","385.85","381.50","383.30","382.60","382.20","383.20","443.75","352.00","35,51,026","1,36,07,52,175.85","81,593"
"07-Nov-2023","EQ","384.90","387.00","382.85","384.65","384.00","383.30","384.53","443.75","352.00","28,46,089","1,09,44,13,257.15","73,620"
"06-Nov-2023","EQ","386.00","386.45","383.00","383.55","385.45","384.65","384.95","443.75","352.00","24,69,968","95,08,11,621.70","64,533"
"03-Nov-2023","EQ","386.00","386.70","382.65","383.65","383.75","383.55","384.03","443.75","352.00","26,45,764","1,01,60,51,515.80","66,538"
"02-Nov-2023","EQ","383.80","385.15","382.10","380.95","384.00","383.65","383.61","443.75","352.00","23,71,365","90,96,80,621.95","76,797"
"01-Nov-2023","EQ","383.85","385.55","380.15","381.80","381.00","380.95","382.86","443.75","352.00","21,20,976","81,20,33,838.95","63,993"
"31-Oct-2023","EQ","383.20","384.10","379.15","382.00","382.90","381.80","381.65","443.75","352.00","30,76,768","1,17,42,57,250.05","81,595"
"30-Oct-2023","EQ","384.00","384.35","380.40","382.35","382.70","382.00","382.15","443.75","352.00","23,44,372","89,59,02,136.95","85,164"
"27-Oct-2023","EQ","379.05","384.35","379.05","378.25","382.90","382.35","382.23","443.75","352.00","31,01,406","1,18,54,53,978.15","1,02,257"
"26-Oct-2023","EQ","378.80","380.55","375.05","381.85","378.90","378.25","377.98","443.75","352.00","54,97,791","2,07,80,44,658.85","1,55,825"
"25-Oct-2023","EQ","384.40","387.70","381.10","383.15","381.95","381.85","383.88","443.75","352.00","33,39,147","1,28,18,42,932.25","1,08,480"
"23-Oct-2023","EQ","390.85","393.00","382.20","391.85","383.00","383.15","387.22","443.75","352.00","44,18,913","1,71,10,82,132.75","1,18,406"
